x	y	z	CellType	CellSize	Cdx2_avg	Gata6_avg	Nanog_avg	Cdx2_sum	Gata6_sum	Nanog_sum
-11.20030759916129	2.90923639767586	7.23305047244028	PRE	12768	0.74236	147.71	3.6752	4711	937000	23323
-8.03255358418608	-0.48836447960821705	6.888643949012744	PRE	3090	0.093204	87.2	2.2511	288	269000	6956
-7.6210535814806315	2.9296846175915467	8.745156680630602	PRE	6353	0.80891	113.18	4.3091	5139	719000	27376
-5.818130521579428	7.40174473044926	8.417830339428189	PRE	6346	0.74236	147.71	3.6752	4711	937000	23323
-5.835148961640222	-3.915570376080552	7.888259446888656	PRE	2265	0.11391	65.59	2.0247	258	149000	4586
-6.322235307010278	-1.5523329042664704	9.721117610975954	EPI	2502	0.98761	21.881	66.456	2471	54746	166000
-5.461596011048564	0.07410696563869976	8.61310550961603	PRE	3561	0.14125	125.83	3.6411	503	448000	12966
-4.451654163243849	-4.183435873875931	9.69514303916667	EPI	2921	0.29408	17.906	63.995	859	52304	187000
-2.6198218780370595	4.281815477420317	11.702449906866448	EPI	8683	4.296	22.682	110.86	37302	197000	963000
-2.8638470731774626	6.060788581109967	9.350830079557998	PRE	2571	0.12213	69.123	3.0898	314	178000	7944
-2.7610948833684033	-1.8849990171575133	12.736070252228378	EPI	13166	0.23401	12.969	64.483	289	16017	79636
-2.801810973343335	-10.755529085835152	5.335822947418379	PRE	5204	0.27998	129.31	2.2429	1457	673000	11672
-0.7334444062222638	9.815194535086489	8.470538829410225	PRE	4676	0.22241	60.57	1.5524	1040	283000	7259
-1.7683211308094715	1.9601132539109969	8.90523314219242	PRE	3789	0.081816	48.431	2.3006	310	184000	8717
-2.418116348988817	-6.344498958195193	7.723375704659079	PRE	4873	0.078186	61.219	1.2198	381	298000	5944
0.2634383435131663	7.044211267826045	10.799771018299868	EPI	7582	0.4024	18.269	90.071	3051	139000	683000
-0.12679212273240056	5.698801853500234	9.359536978034368	PRE	2590	0.10579	77.659	4.7537	274	201000	12312
-1.1015589757484971	-4.643041745165505	10.021019354713626	EPI	2097	0.088698	10.744	55.845	186	22530	117000
-1.1015589757484971	-4.643041745165505	10.021019354713626	EPI	2097	0.088698	10.744	55.845	186	22530	117000
0.6584880471557717	-2.2401298589038303	7.606372795480901	PRE	7466	0.037102	96.55	1.7235	277	721000	12868
-1.0920786770725115	2.1792385261480662	12.015611632470842	EPI	1235	0.23401	12.969	64.483	289	16017	79636
3.0427973057279183	7.479760333744931	8.314690842283348	PRE	2571	0.040062	38.713	0.78296	103	99532	2013
1.5732393529293087	-9.656721562694981	6.898605532664137	PRE	5658	0.23489	46.369	0.78614	1329	262000	4448
1.8968489123222387	2.8146510352799528	11.688637482146795	EPI	3260	0.14172	8.5531	59.262	462	27883	193000
3.320453712923124	1.087723896426358	11.821599082782527	EPI	5201	0.81331	9.1557	52.709	4230	47619	274000
2.241780951442681	-5.681460819165562	9.725712661310185	EPI	5200	0.12442	7.8121	39.869	647	40623	207000
3.3602199032334754	-3.9237157679834156	7.805862206896622	PRE	5218	0.063626	66.313	4.781	332	346000	24947
4.960690077110649	4.348907304897143	9.965018284227257	PRE	6750	0.062667	54.234	2.6459	423	366000	17860
4.960690077110649	4.348907304897143	9.965018284227257	PRE	6750	0.062667	54.234	2.6459	423	366000	17860
5.042964155654985	-0.6528182094352009	7.786675691789334	PRE	6444	0.046089	58.81	3.2854	297	379000	21171
7.128079261712982	3.648640729126905	7.958037168383045	PRE	10548	0.39477	19.231	0.70212	4164	203000	7406
5.552621837831015	-4.7253962176512125	10.013130466655086	EPI	11743	3.2968	6.8438	14.956	38714	80367	176000
5.842442303296465	-7.101329044335136	7.4251590098295885	PRE	4694	0.2337	28.14	0.73221	1097	132000	3437
6.481780121914514	6.500411865652158	9.66890460318798	PRE	1670	0.082036	29.92	1.0066	137	49967	1681
8.773878049674346	-5.68758213978871	6.659355507830484	PRE	3972	0.76133	22.768	0.5574	3024	90434	2214
9.030712761045763	-2.5039708710739808	7.053634131581109	PRE	4302	0.23803	23.593	0.67271	1024	102000	2894
